qz,qxy,intensity
1.97094,1.38393,57.215
1.97094,1.39286,57.215
1.97094,1.40179,57.215
1.97094,1.41071,57.215
1.97094,1.41964,57.215
1.97094,1.42857,57.215
1.97094,1.4375,57.215
1.97094,1.44643,57.215
1.97094,1.45536,57.215
1.97094,1.46429,57.215
1.97094,1.47321,57.215
1.97094,1.48214,57.215
1.97094,1.49107,57.215
1.97094,1.5,57.215
1.97094,1.50893,57.215
1.97094,1.51786,57.215
1.96126,0,185.548
1.96126,0.00892857,124.542
1.96126,0.0178571,57.253
1.96126,0.0267857,57.557
1.96126,0.0357143,57.91
1.96126,0.0446429,57.91
1.96126,0.0535714,57.91
1.96126,0.0625,57.91
1.96126,0.0714286,57.91
1.96126,0.0803571,57.91
1.96126,0.0892857,57.91
1.96126,0.0982143,57.91
1.96126,0.107143,57.91
1.96126,0.116071,57.91
1.96126,0.125,57.91
1.96126,0.133929,57.91
1.96126,0.142857,57.91
1.96126,0.151786,57.91
1.96126,0.160714,57.91
1.96126,0.169643,57.91
1.96126,0.178571,57.91
1.96126,0.1875,57.91
1.96126,0.196429,57.91
1.96126,0.205357,57.91
1.96126,0.214286,57.91
1.96126,0.223214,57.91
1.96126,0.232143,57.91
1.96126,0.241071,57.91
1.96126,0.25,57.91
1.96126,0.258929,57.91
1.96126,0.267857,57.91
1.96126,0.276786,57.91
1.96126,0.285714,57.91
1.96126,0.294643,57.91
1.96126,0.303571,57.394
1.96126,0.3125,57.693
1.96126,0.321429,57.166
1.96126,0.330357,57.628
1.96126,0.339286,57.28
1.96126,0.348214,55.22
1.96126,0.357143,56.931
1.96126,0.366071,73.928
1.96126,0.375,97.194
1.96126,0.383929,97.161
1.96126,0.392857,95.895
1.96126,0.401786,91.96
1.96126,0.410714,91.96
1.96126,0.419643,90.993
1.96126,0.428571,89.993
1.96126,0.4375,90.569
1.96126,0.446429,89.683
1.96126,0.455357,90.281
1.96126,0.464286,89.58
1.96126,0.473214,88.58
1.96126,0.482143,86.694
1.96126,0.491071,87.292
1.96126,0.5,86.292
1.96126,0.508929,85.705
1.96126,0.517857,85.705
1.96126,0.526786,84.705
1.96126,0.535714,85.004
1.96126,0.544643,86.004
1.96126,0.553571,85.004
1.96126,0.5625,85.004
1.96126,0.571429,84.004
1.96126,0.580357,83.993
1.96126,0.589286,83.993
1.96126,0.598214,83.993
1.96126,0.607143,83.406
1.96126,0.616071,83.705
1.96126,0.625,83.705
1.96126,0.633929,83.705
1.96126,0.642857,82.759
1.96126,0.651786,83.987
1.96126,0.660714,83.987
1.96126,0.669643,83.873
1.96126,0.678571,84.172
1.96126,0.6875,84.183
1.96126,0.696429,84.781
1.96126,0.705357,85.379
1.96126,0.714286,85.667
1.96126,0.723214,86.254
1.96126,0.732143,86.553
1.96126,0.741071,86.749
1.96126,0.75,88.347
1.96126,0.758929,88.244
1.96126,0.767857,87.956
1.96126,0.776786,88.369
1.96126,0.785714,88.369
1.96126,0.794643,89.152
1.96126,0.803571,90.163
1.96126,0.8125,91.359
1.96126,0.821429,92.555
1.96126,0.830357,92.566
1.96126,0.839286,92.05
1.96126,0.848214,92.349
1.96126,0.857143,93.534
1.96126,0.866071,92.659
1.96126,0.875,93.268
1.96126,0.883929,93.29
1.96126,0.892857,93.301
1.96126,0.901786,91.176
1.96126,0.910714,89.268
1.96126,0.919643,91.567
1.96126,0.928571,92.763
1.96126,0.9375,92.073
1.96126,0.946429,90.796
1.96126,0.955357,91.405
1.96126,0.964286,89.726
1.96126,0.973214,88.21
1.96126,0.982143,87.922
1.96126,0.991071,86.884
1.96126,1,84.884
1.96126,1.00893,85.194
1.96126,1.01786,82.906
1.96126,1.02679,81.102
1.96126,1.03571,82.227
1.96126,1.04464,79.939
1.96126,1.05357,81.352
1.96126,1.0625,81.466
1.96126,1.07143,76.825
1.96126,1.08036,75.423
