experiment_id,map_id,geometry,qz_units,qxy_units,qz,qxy,intensity
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.125,60.834
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.13393,58.606
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.14286,56.894
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.15179,56.78
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.16071,57.552
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.16964,57.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.17857,57.21
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.1875,57.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.19643,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.20536,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.21429,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.22321,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.23214,58.666
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.24107,58.666
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.25,58.666
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.25893,58.552
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.26786,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.27679,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.28571,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.29464,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.30357,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,1.3125,58.438
